KG,RMB,,,,
0.5,228.6,,,,
1,257.4,,,,
1.5,286,,,,
2,314. 6,,,,
2.5,343. 3,,,,
3,371.9,,,,
3.5,400. 5,,,,
4,429.2,,,,
4.5,457.8,,,,
5,486.4,,,,
5.5,515. 0,,,,
6,543. 7,,,,
6.5,572. 3,,,,
7,600. 9,,,,
7.5,629.6,,,,
8,658. 2,,,,
8.5,686.8,,,,
9,715.4,,,,
9.5,744.1,,,,
10,772. 7,,,,
10.5,923. 9,,,,
11,957.3,,,,
11.5,990.7,,,,
12,1024. 1,,,,
12.5,1057.5,,,,
13,1091. 0,,,,
13.5,1124.4,,,,
14,1157.8,,,,
14.5,1191.2,,,,
15,1224. 6,,,,
15.5,1258,,,,
16,1291.4,,,,
16.5,1324.8,,,,
17,1358. 2,,,,
17.5,1391.7,,,,
18,1425. 1,,,,
18.5,1426.8,,,,
19,1428. 5,,,,
19.5,1430,,,,
20,1430,,,,
20.5,1455.7,,,,
Above 21,65.7/KG,,,,